backbone,nca_knn_f1_mean,nca_knn_f1_std,linear_f1_mean,linear_f1_std,delta_f1_mean,delta_f1_std,n_folds,target_dim,k,NCA+kNN F1,Linear F1,Δ F1
base,0.9211600000000001,0.021789874116203613,0.9173806000000001,0.027246644386052406,0.003779400000000001,0.024013351979679975,5,64,3,0.9212 ± 0.0218,0.9174 ± 0.0272,+0.0038 ± 0.0240
cbam_end,0.9359864,0.013123196420842025,0.9253612,0.022225094222522446,0.0106252,0.01345167252426255,5,64,3,0.9360 ± 0.0131,0.9254 ± 0.0222,+0.0106 ± 0.0135
cbam_block_pre,0.9243298,0.013677902807082658,0.8634516,0.057109750991402475,0.06087820000000001,0.056430657108525684,5,64,3,0.9243 ± 0.0137,0.8635 ± 0.0571,+0.0609 ± 0.0564
cbam_block_post,0.9271291999999999,0.009934322785172617,0.8990554,0.0297390814972487,0.0280738,0.023733985341699355,5,64,3,0.9271 ± 0.0099,0.8991 ± 0.0297,+0.0281 ± 0.0237
se_end,0.9345700000000001,0.0180200442979478,0.9040732,0.0414166831928874,0.0304968,0.03388050744454693,5,64,3,0.9346 ± 0.0180,0.9041 ± 0.0414,+0.0305 ± 0.0339
se_block_pre,0.9221058,0.02765167193317613,0.9069566,0.030945806069643762,0.015149199999999998,0.006390506920425014,5,64,3,0.9221 ± 0.0277,0.9070 ± 0.0309,+0.0151 ± 0.0064
cbam_isolated_end,0.9250543999999999,0.023798363910151447,0.9050872,0.03326507835854289,0.0199672,0.013935311790555675,5,64,3,0.9251 ± 0.0238,0.9051 ± 0.0333,+0.0200 ± 0.0139
cbam_isolated_block_pre,0.9113916,0.02747489389060494,0.8916682,0.03311253652621619,0.0197234,0.02155450204249683,5,64,3,0.9114 ± 0.0275,0.8917 ± 0.0331,+0.0197 ± 0.0216
